stock,taxa,variable,year,mean,sd,lower,upper,status,U,F,O
Bivalvia,Bivalvia,b_div_bmsy,2018,1.002894301,0.219630352,0.6944448,1.423647496,fully fished,0,1,0
Callista.chione,Callista chione,b_div_bmsy,2018,0.963025446,0.180142118,0.715599183,1.26702413,fully fished,0,1,0
Cardiidae,Cardiidae,b_div_bmsy,2018,0.971944455,0.234668641,0.673303001,1.422147321,fully fished,0,1,0
Labridae,Labridae,b_div_bmsy,2018,0.697302536,0.258729985,0.462458316,1.048205603,overfished,0,0,1
Aphia.minuta,Aphia minuta,b_div_bmsy,2018,0.790306086,0.280811166,0.511210297,1.256794325,overfished,0,0,1
Eutrigla.gurnardus,Eutrigla gurnardus,b_div_bmsy,2018,0.727125794,0.252225857,0.491823799,1.085914318,overfished,0,0,1
Dactylopterus.volitans,Dactylopterus volitans,b_div_bmsy,2018,0.983293653,0.238032948,0.655971717,1.411654478,fully fished,0,1,0
Sparisoma.cretense,Sparisoma cretense,b_div_bmsy,2018,0.789622095,0.258649967,0.522326962,1.183304539,overfished,0,0,1
Xyrichtys.novacula,Xyrichtys novacula,b_div_bmsy,2018,0.791899558,0.247944753,0.530883881,1.168043037,overfished,0,0,1
Muraena.helena,Muraena helena,b_div_bmsy,2018,0.810613845,0.270056341,0.52407588,1.231270705,fully fished,0,1,0
Saurida.undosquamis,Saurida undosquamis,b_div_bmsy,2016,0.632616605,0.218664239,0.436592182,0.900894167,overfished,0,0,1
Perciformes,Perciformes,b_div_bmsy,2018,0.629732131,0.262625916,0.41729664,0.960092839,overfished,0,0,1
Ammodytes.spp,Ammodytes spp,b_div_bmsy,2018,0.847779085,0.254482663,0.567343263,1.278614888,fully fished,0,1,0
Triglidae,Triglidae,b_div_bmsy,2018,0.645556154,0.220393854,0.457284202,0.911676962,overfished,0,0,1
Pagellus.spp,Pagellus spp,b_div_bmsy,2018,0.591184642,0.17321947,0.435717683,0.762037953,overfished,0,0,1
Diplodus.annularis,Diplodus annularis,b_div_bmsy,2018,0.985564241,0.267127154,0.62342588,1.488049638,fully fished,0,1,0
Trachinus.spp,Trachinus spp,b_div_bmsy,2018,0.681027022,0.260611317,0.451628839,1.035682484,overfished,0,0,1
Boops.boops,Boops boops,b_div_bmsy,2018,0.772990454,0.18352606,0.577311686,1.030068347,overfished,0,0,1
Trichiurus.lepturus,Trichiurus lepturus,b_div_bmsy,2018,1.048564047,0.244373737,0.703009219,1.527444438,fully fished,0,1,0
Diplodus.sargus,Diplodus sargus,b_div_bmsy,2018,0.881782168,0.250669042,0.595638184,1.306770178,fully fished,0,1,0
Mugil.soiuy,Mugil soiuy,b_div_bmsy,2018,0.670646293,0.267499027,0.432042486,1.02700275,overfished,0,0,1
Diplodus.spp,Diplodus spp,b_div_bmsy,2018,0.584357424,0.24290637,0.398360924,0.867553664,overfished,0,0,1
Uranoscopus.scaber,Uranoscopus scaber,b_div_bmsy,2018,0.82983871,0.220940003,0.566578741,1.153734374,fully fished,0,1,0
Umbrina.cirrosa,Umbrina cirrosa,b_div_bmsy,2018,0.63750738,0.260576723,0.411128351,0.959771182,overfished,0,0,1
Gobiidae,Gobiidae,b_div_bmsy,2018,0.683861915,0.247333786,0.454254485,1.00240612,overfished,0,0,1
Lophius.spp,Lophius spp,b_div_bmsy,2018,0.893593654,0.240114221,0.613419233,1.298578232,fully fished,0,1,0
Aspitrigla.cuculus,Aspitrigla cuculus,b_div_bmsy,2018,0.942614409,0.253155139,0.612813305,1.383023964,fully fished,0,1,0
Epinephelus.spp,Epinephelus spp,b_div_bmsy,2018,0.659247091,0.205527259,0.479775637,0.916879235,overfished,0,0,1
Oblada.melanura,Oblada melanura,b_div_bmsy,2018,0.917680335,0.233272191,0.628711507,1.331677653,fully fished,0,1,0
Helicolenus.dactylopterus,Helicolenus dactylopterus,b_div_bmsy,2018,0.743915097,0.2590237,0.491342911,1.113210174,overfished,0,0,1
Mugilidae,Mugilidae,b_div_bmsy,2018,0.709764804,0.211580833,0.503223636,0.989371475,overfished,0,0,1
Pagrus.pagrus,Pagrus pagrus,b_div_bmsy,2018,0.885049525,0.232166464,0.607734415,1.287747702,fully fished,0,1,0
Synodontidae,Synodontidae,b_div_bmsy,2018,0.85282212,0.241243475,0.575877773,1.260884697,fully fished,0,1,0
Zeus.faber,Zeus faber,b_div_bmsy,2018,0.698963527,0.263005184,0.453595293,1.065967053,overfished,0,0,1
Balistes.carolinensis,Balistes carolinensis,b_div_bmsy,2018,0.733912399,0.263940152,0.477194697,1.099972837,overfished,0,0,1
Siganus.spp,Siganus spp,b_div_bmsy,2018,0.72840092,0.266704011,0.472290834,1.116126143,overfished,0,0,1
Spicara.maena,Spicara maena,b_div_bmsy,2018,0.741107924,0.254020198,0.490899359,1.108802513,overfished,0,0,1
Chelidonichthys.lucerna,Chelidonichthys lucerna,b_div_bmsy,2018,0.711720513,0.264149293,0.470423955,1.091783487,overfished,0,0,1
Argyrosomus.regius,Argyrosomus regius,b_div_bmsy,2018,0.737651266,0.243142185,0.498837296,1.076744024,overfished,0,0,1
Mullus.spp,Mullus spp,b_div_bmsy,2018,0.491347286,0.211935649,0.346974739,0.685441574,overfished,0,0,1
Trachinidae,Trachinidae,b_div_bmsy,2018,0.751524933,0.187648708,0.558822694,1.01405083,overfished,0,0,1
Sciaenidae,Sciaenidae,b_div_bmsy,2018,0.546359895,0.252613111,0.36958049,0.818207883,overfished,0,0,1
Scorpaenidae,Scorpaenidae,b_div_bmsy,2018,0.922082233,0.234007756,0.637241117,1.342022629,fully fished,0,1,0
Centrolophidae,Centrolophidae,b_div_bmsy,2018,0.98005399,0.259865604,0.634821391,1.448989667,fully fished,0,1,0
Dentex.dentex,Dentex dentex,b_div_bmsy,2018,0.760459414,0.247354702,0.50944265,1.112279286,overfished,0,0,1
Conger.conger,Conger conger,b_div_bmsy,2018,0.766058875,0.243290969,0.511216595,1.129792771,overfished,0,0,1
Umbrina.canariensis,Umbrina canariensis,b_div_bmsy,2018,0.718725173,0.252915079,0.475580773,1.087033425,overfished,0,0,1
Phycis.spp,Phycis spp,b_div_bmsy,2018,0.573948452,0.146924224,0.456407008,0.723077286,overfished,0,0,1
Trisopterus.minutus,Trisopterus minutus,b_div_bmsy,2018,0.615291836,0.144025846,0.488923789,0.771913913,overfished,0,0,1
